name,code,professor,day,period,area,category,class_mode,grade_dist,exam_type,credit,semester,major_track,is_required
인공지능-2,LH004300,문용혁,월,4,2,핵심전공,대면,보통,객관식,3,1,3,0
고급C++프로그래밍-1,LH004200,강종구,수,4,2,핵심전공,블렌디드,보통,"주관식,T/F형",3,1,3,0
고급C++프로그래밍-2,LH004200,심광섭,목,7,2,핵심전공,블렌디드,보통,"주관식,T/F형",3,1,3,0
자료구조-1,LH003800,안양준,수,1,2,핵심전공,대면,보통,주관식,3,0,3,0
자료구조-3,LH003800,안양준,월,1,2,핵심전공,대면,보통,주관식,3,0,3,0
자료구조-2,LH003800,김도형,목,1,2,핵심전공,대면,보통,주관식,3,0,3,0
자바 프로그래밍-1,LH004100,이규중,목,4,2,핵심전공,블렌디드,보통,"주관식,논술형,T/F형",3,0,3,0
자바 프로그래밍-2,LH004100,정선진,수,7,2,핵심전공,블렌디드,보통,"주관식,논술형,T/F형",3,0,3,0
인공지능수학,LH002500,이준세,월,4,1,핵심전공,비대면,보통,객관식,3,2,3,0
미적분과벡터해석기초-1,SA045900,강영훈,목,7,0,공통교양,대면,보통,주관식,3,0,0,0
미적분과벡터해석기초-2,SA045900,김탁원,화,4,0,공통교양,대면,보통,주관식,3,0,0,0
미적분과벡터해석기초-3,SA045900,이주희,화,4,0,공통교양,대면,보통,주관식,3,0,0,0
미적분과벡터해석기초-4,SA045900,안소영,수,1,0,공통교양,대면,보통,주관식,3,0,0,0
모바일 프로그래밍-1,LH000300,노현아,금,7,2,핵심전공,대면,보통,기타,3,2,3,0
모바일 프로그래밍-2,LH000300,정선진,화,7,2,핵심전공,대면,보통,기타,3,2,3,0
자료구조 실습-1,LH000500,변혜원,수,4,2,핵심전공,대면,보통,주관식,3,2,3,0
자료구조 실습-2,LH000500,이민수,금,1,2,핵심전공,대면,보통,주관식,3,2,3,0
기계학습-1,LH000400,유재현,목,7,2,핵심전공,블렌디드,보통,"주관식,객관식",3,2,3,0
기계학습-2,LH000400,문용혁,월,7,2,핵심전공,블렌디드,보통,"주관식,객관식",3,2,3,0
비판적사고와토론,SA011100,강희경,금,4,0,공통교양,대면,보통,"주관식,객관식",2,1,0,1
창조적 사고와 글쓰기,SA011200,정슬아,금,1,0,공통교양,대면,보통,"주관식,객관식",2,2,0,1
AI서비스설계,LH001000,이민수,화,7,2,핵심전공,블렌디드,보통,기타,3,1,1,0
IOT기본실습-1,LH000900,김준철,목,7,2,핵심전공,대면,보통,"주관식,객관식",3,1,2,0
